序位	詞彙	詞頻
952	溝通	139
953	晉級	139
954	就是	138
955	基本	138
956	學者	137
957	叔叔	137
958	染	137
959	設備	137
960	檢討	137
961	彰化	137
962	農委會	137
963	分析	137
964	颱風	137
965	負擔	136
966	下午	136
967	變	136
968	責任	136
969	桃市	136
970	候選人	136
971	報紙	136
972	試劑	136
973	少	135
974	帶來	135
975	期待	135
976	員工	135
977	擔心	135
978	恐	135
979	雙方	135
980	生涯	135
981	公開	135
982	詹伯望	135
983	高中職	135
984	科大	135
985	藝術家	135
986	一般	134
987	陸續	134
988	預算	134
989	新竹縣	134
990	檢驗	134
991	時代	134
992	電子	134
993	奪	134
994	桌球	134
995	足球	134
996	高達	133
997	檢疫	133
998	想法	133
999	品質	133
1000	路	133
1001	亞洲	133
1002	學測	133
1003	人生	132
1004	十二月	132
1005	機制	132
1006	危機	132
1007	縣	132
1008	搭配	132
1009	臺東縣	132
1010	今	131
1011	族群	131
1012	尊重	131
1013	莫德納	131
1014	文學	131
1015	垃圾	131
1016	單日	130
1017	中等	130
1018	五十	130
1019	展覽	130
1020	原則	130
1021	寫作	130
1022	發布	129
1023	不要	129
1024	素養	129
1025	訊息	129
1026	十一月	129
1027	學院	129
1028	只有	129
1029	引起	129
1030	恢復	129
1031	獎	129
1032	潘文忠	129
1033	修憲	129
1034	文章	129
1035	澳洲	128
1036	倍	128
1037	辛苦	128
1038	市	128
1039	氣候	128
1040	距離	128
1041	預估	128
1042	近年	128
1043	團團	128
1044	感到	127
1045	充滿	127
1046	機器人	127
1047	觀念	127
1048	季	127
1049	機場	127
1050	教導	127
1051	證書	127
1052	國語日報社	126
1053	新高	126
1054	高級	126
1055	強化	126
1056	取消	126
1057	嘉義	126
1058	衝擊	125
1059	得到	125
1060	李琦瑋	125
1061	翻攝	125
1062	創新	125
1063	完整	125
1064	價值	124
1065	能源	124
1066	食材	124
1067	關係	124
1068	聯合國	123
1069	教育局長	123
1070	小朋友	123
1071	緊急	123
1072	大型	123
1073	自行	123
1074	事故	123
1075	擁有	122
1076	名額	122
1077	任務	122
1078	輪	122
1079	一日	122
1080	企業	122
1081	人力	122
1082	設施	122
1083	依據	122
1084	贏得	122
1085	比較	122
1086	國人	121
1087	獨立	121
1088	通報	121
1089	趨勢	121
1090	意見	121
1091	友善	121
1092	改為	121
1093	感受	121
1094	但是	120
1095	學會	120
1096	廠商	120
1097	組成	120
1098	四十	120
1099	不當	120
1100	科	120
1101	太空	120
1102	公益	119
1103	角色	119
1104	傳播	119
1105	德國	119
1106	手	119
1107	闖關	119
1108	中市	119
1109	自由	119
1110	重大	119
1111	嘉義市	119
1112	值得	118
1113	遇到	118
1114	供	118
1115	十七	118
1116	寒假	118
1117	節	118
1118	進	118
1119	關心	118
1120	會考	118
1121	參考	118
1122	邊	118
1123	疾病	117
1124	成就感	117
1125	英文	117
1126	屏縣	117
1127	關鍵	117
1128	後續	117
1129	數據	117
1130	功能	117
1131	二二二年	116
1132	字	116
1133	委員	116
1134	暫停	116
1135	語文	116
1136	開打	116
1137	對手	116
1138	變化	115
1139	市府	115
1140	你	115
1141	屬於	115
1142	城市	115
1143	供應	115
1144	設	115
1145	條例	115
1146	畫	115
1147	環保	115
1148	不但	114
1149	面臨	114
1150	開發	114
1151	即將	114
1152	原因	114
1153	全民	114
1154	建築	114
1155	檢測	114
1156	意外	114
1157	歷程	114
1158	審議	114
1159	設立	114
1160	完全	113
1161	從小	113
1162	陪伴	113
1163	影像	113
1164	長者	113
1165	近期	113
1166	情緒	113
1167	法律	113
1168	特展	113
1169	顆	113
1170	人物	112
1171	找到	112
1172	幫	112
1173	年輕	112
1174	待	112
1175	免	112
1176	世代	112
1177	太	112
1178	人類	112
1179	一定	112
1180	植物	112
1181	做好	111
1182	表揚	111
1183	電腦	111
1184	爭取	111
1185	反映	111
1186	具有	111
1187	技巧	111
1188	學術	111
1189	銀	111
1190	系列	111
1191	陳芝瑄	111
1192	新竹	110
1193	觀眾	110
1194	史	110
1195	明顯	110
1196	體罰	110
1197	必要	110
1198	藉	110
1199	投手	110
1200	課綱	109
1201	順利	109
1202	意義	109
1203	納入	109
1204	印象	109
1205	心	109
1206	聽	109
1207	道路	109
1208	臺東	109
1209	父親	108
1210	剛	108
1211	方法	108
1212	動畫	108
1213	教	108
1214	法蘭克	108
1215	俄	108
1216	傳出	107
1217	動作	107
1218	面	107
1219	提前	107
1220	公立	107
1221	場所	107
1222	衛生	107
1223	室	107
1224	考	107
1225	副組長	107
1226	梅西	107
1227	公告	106
1228	最終	106
1229	重	106
1230	直接	106
1231	策略	106
1232	退休	106
1233	放寬	106
1234	理解	106
1235	冠軍戰	106
1236	滿	105
1237	逐漸	105
1238	購買	105
1239	授課	105
1240	小組	105
1241	飲食	105
1242	政治	105
1243	案例	105
1244	藥物	105
1245	二十五	104
1246	部	104
1247	入選	104
1248	效果	104
1249	拿	104
1250	推	104
1251	姓名	104
1252	規模	104
1253	應變組	104
1254	作家	104
1255	拿到	104
1256	放棄	103
1257	身	103
1258	學到	103
1259	質疑	103
1260	適合	103
1261	和平	103
1262	裝置	103
1263	一一學年度	103
1264	拿下	103
1265	上路	103
1266	國手	103
1267	爆發	102
1268	出	102
1269	主動	102
1270	宣導	102
1271	運動會	102
1272	新臺幣	102
1273	電話	102
1274	尚未	102
1275	居隔	102
1276	畫作	102
1277	方向	102
1278	盼	102
1279	真的	102
1280	霸凌	102
1281	地球	102
1282	成大	102
1283	終於	101
1284	模型	101
1285	條件	101
1286	週四	101
1287	開	101
1288	餐廳	101
1289	奪得	101
1290	認證	101
1291	揭曉	100
1292	遴選	100
1293	錄取	100
1294	確保	100
1295	受傷	100
1296	旅客	100
1297	園區	100
1298	公里	100
1299	程序	100
1300	成效	100
1301	王必勝	100
1302	證明	100
1303	初	100
1304	用餐	100
1305	二十四	100
1306	大賽	100
1307	旅行	100
1308	市場	99
1309	春節	99
1310	北部	99
1311	能夠	99
1312	禮物	99
1313	整	99
1314	打破	99
1315	傳承	99
1316	培訓	99
1317	有些	99
1318	出版	99
1319	就醫	99
1320	勇士隊	99
1321	升溫	98
1322	文教	98
1323	基隆	98
1324	舞蹈	98
1325	情形	98
1326	張	98
1327	對象	98
1328	正在	98
1329	唯一	98
1330	載具	98
1331	阮筱琪	97
1332	食物	97
1333	保持	97
1334	資格	97
1335	草案	97
1336	觀光	97
1337	或是	97
1338	像是	97
1339	操作	97
1340	區域	97
1341	違反	97
1342	南投縣	97
1343	領先	97
1344	保育	97
1345	沒想到	96
1346	走	96
1347	現象	96
1348	社群	96
1349	入	96
1350	主管	96
1351	勇奪	96
1352	不得	96
1353	站	96
1354	棒球	96
1355	停止	96
1356	隨著	96
1357	國民	96
1358	主辦	95
1359	住院	95
1360	據	95
1361	考慮	95
1362	獎項	95
1363	嘗試	95
1364	萬	95
1365	篩檢	95
1366	天氣	95
1367	創下	95
1368	臺鐵	95
1369	敲出	95
1370	重新	94
1371	任何	94
1372	身分	94
1373	國外	94
1374	收到	94
1375	開幕	94
1376	騎	94
1377	習慣	94
1378	達成	94
1379	放	94
1380	連霸	94
1381	期	94
1382	一直	94
1383	王士誠	94
1384	管制	94
1385	美感	94
1386	感染源	94
1387	刊登	94
1388	旅遊	94
1389	而是	93
1390	欣賞	93
1391	選出	93
1392	感動	93
1393	確認	93
1394	找	93
1395	人士	93
1396	列入	93
1397	數	93
1398	侯友宜	93
1399	賽	93
1400	分科	93
1401	捐贈	93
1402	升學	93
1403	海	93
1404	歧視	93
1405	朋友	92
1406	確實	92
1407	確定	92
1408	小學生	92
1409	雲林縣	92
1410	優先	92
1411	保存	92
1412	記者	92
1413	大量	92
1414	奧運	92
1415	儀式	92
1416	基地	92
1417	先發	92
1418	難以	92
1419	看見	91
1420	漫畫	91
1421	明天	91
1422	車	91
1423	攝氏	91
1424	這樣	91
1425	後來	91
1426	價格	91
1427	看法	91
1428	年輕人	91
1429	模式	91
1430	變遷	91
1431	圖書	91
1432	尋求	91
1433	大聯盟	91
1434	佳績	91
1435	敗	91
1436	玩具	90
1437	整體	90
1438	閩南語	90
1439	大眾	90
1440	八成	90
1441	藝文	90
1442	買	90
1443	速度	90
1444	手機	90
1445	位於	90
1446	五年級	90
1447	攜手	90
1448	故宮	90
1449	場地	90
1450	快速	90
1451	大會	90
1452	高中生	90
1453	銀牌	90
1454	代表隊	90
1455	公民權	90
1456	病歿	90
1457	而且	89
1458	人民	89
1459	緊張	89
1460	秒	89
1461	各界	89
1462	抗	89
1463	指引	89
1464	涉及	89
1465	開設	89
1466	少子化	89
1467	調漲	89
1468	球星	89
1469	烏	89
1470	阿根廷	89
1471	數量	88
1472	記得	88
1473	如今	88
1474	巴西	88
1475	概念	88
1476	技藝	88
1477	蘇貞昌	88
1478	聯合	87
1479	堅持	87
1480	嗎	87
1481	縣長	87
1482	防制	87
1483	即	87
1484	客家	87
1485	意願	87
1486	電影	87
1487	男子	87
1488	實習	87
1489	造形	87
1490	歐洲	87
1491	導覽	87
1492	論文	87
1493	態度	86
1494	第五	86
1495	研判	86
1496	他人	86
1497	工具	86
1498	邊境	86
1499	照片	86
1500	二十二	86
1501	食品	86
1502	病房	86
1503	越	86
1504	聯賽	86
1505	為主	86
1506	技能	86
1507	全壘打	86
1508	憲法	86
1509	俄國	86
1510	打擊	86
1511	作者	86
1512	世足賽	86
1513	克服	85
1514	訂定	85
1515	經常	85
1516	上學	85
1517	高度	85
1518	視野	85
1519	工商	85
1520	四年級	85
1521	南市	85
1522	採取	85
1523	轉型	85
1524	儘速	85
1525	系	85
1526	研議	85
1527	女王	85
1528	少棒	85
1529	俄軍	85
1530	減	84
1531	上升	84
1532	旅館	84
1533	檔案	84
1534	六十	84
1535	薪資	84
1536	原	84
1537	年紀	84
1538	範圍	84
1539	重點	84
1540	銀行	84
1541	之前	84
1542	前天	84
1543	鬆綁	84
1544	銅	84
1545	外界	84
1546	時期	84
1547	二十一	84
1548	爭議	84
1549	長輩	84
1550	理念	84
1551	防災	84
1552	波蘭	84
1553	物價	83
1554	平等	83
1555	負責	83
1556	物資	83
1557	坐	83
1558	日常	83
1559	經營	83
1560	快樂	83
1561	空氣	83
1562	師資	83
1563	促進	83
1564	課堂	83
1565	遠	83
1566	量	83
1567	花	83
1568	排	83
1569	實作	82
1570	釐清	82
1571	某	82
1572	女孩	82
1573	聲音	82
1574	美術	82
1575	比照	82
1576	參觀	82
1577	學科	82
1578	通知	82
1579	其次	82
1580	傷害	82
1581	費用	82
1582	生	82
1583	攻擊	82
1584	移工	82
1585	支付	82
1586	大谷翔平	82
1587	獲選	81
1588	觀賞	81
1589	拍攝	81
1590	畫面	81
1591	三十日	81
1592	之間	81
1593	控制	81
1594	隊伍	81
1595	同步	81
1596	停辦	81
1597	遊客	81
1598	孩童	81
1599	管道	81
1600	寫下	81
1601	卡達	81
1602	困境	80
1603	金門	80
1604	還要	80
1605	全部	80
1606	長大	80
1607	框列	80
1608	傳	80
1609	銅牌	80
1610	檢查	80
1611	自信	80
1612	願意	80
1613	融合	80
1614	立即	80
1615	北	80
1616	冷氣	80
1617	演奏	80
1618	提	80
