序位	詞彙	詞頻	常用詞標V
480	應該	268	V
481	局	267	V
482	中央	267	V
483	這些	267	V
484	會議	266	V
485	衛福部	266	V
486	導致	265	V
487	加強	264	V
488	公尺	264	V
489	教	264	V
490	新生	264	V
491	當地	264	V
492	產業	263	V
493	屏東	263	V
494	辦理	262	V
495	生命	262	V
496	影片	262	V
497	不足	261	V
498	接受	261	V
499	報導	261	V
500	國立	260	V
501	課	259	V
502	令	257	V
503	推出	257	V
504	交流	256	V
505	平均	255	V
506	知識	255	V
507	精神	255	V
508	只要	255	V
509	考試	254	V
510	像	254	V
511	經過	253	V
512	底	252	V
513	學期	252	V
514	第三	252	V
515	占	252	V
516	統計	252	V
517	父母	251	V
518	快	251	V
519	度	251	V
520	原本	250	V
521	避免	250	V
522	最佳	250	V
523	投入	250	V
524	小學	250	V
525	吸引	250	V
526	素養	250	V
527	新聞	249	V
528	分別	249	V
529	同	248	V
530	間	248	V
531	家人	248	V
532	成長	246	V
533	建立	246	V
534	十八	245	V
535	期間	244	V
536	吃	243	V
537	地震	243	V
538	最多	242	V
539	市長	242	V
540	一樣	241	V
541	品質	241	V
542	積極	240	V
543	九	240	V
544	受到	240	V
545	難	239	V
546	標準	238	V
547	遭	237	V
548	重視	237	V
549	發表	237	V
550	須	237	V
551	例	236	V
552	電子	236	V
553	今天	235	V
554	階段	235	V
555	感謝	234	V
556	目標	234	V
557	以下	234	V
558	網	233	V
559	文學	233	V
560	興趣	233	V
561	取得	233	V
562	行為	233	V
563	有趣	232	V
564	準備	232	V
565	打	232	V
566	球	231	V
567	連	230	V
568	權益	230	V
569	由於	230	V
570	公園	230	V
571	立委	229	V
572	空間	228	V
573	經	228	V
574	頒獎	228	V
575	手	228	V
576	運用	227	V
577	行政院	227	V
578	音樂	226	V
579	記者會	226	V
580	安排	225	V
581	錦標賽	225	V
582	互動	224	V
583	項目	224	V
584	請	224	V
585	醫療	224	V
586	八月	224	V
587	設置	223	V
588	隻	222	V
589	需求	222	V
590	畢業生	222	V
591	容易	221	V
592	公共	220	V
593	開放	220	V
594	修正	220	V
595	知道	220	V
596	強調	219	V
597	半	219	V
598	已經	218	V
599	六年級	218	V
600	推廣	217	V
601	修法	217	V
602	醫師	217	V
603	數學	216	V
604	使	216	V
605	北	216	V
606	三十	215	V
607	表達	215	V
608	環保	215	V
609	理事長	215	V
610	障礙	214	V
611	公司	214	V
612	科	214	V
613	上課	214	V
614	非常	214	V
615	長期	214	V
616	南韓	213	V
617	引發	213	V
618	不但	213	V
619	支	212	V
620	博物館	212	V
621	專家	211	V
622	特殊	211	V
623	此外	211	V
624	寫	210	V
625	條	210	V
626	加上	210	V
627	落實	210	V
628	中學	210	V
629	工會	210	V
630	親子	209	V
631	自然	209	V
632	關係	208	V
633	展出	207	V
634	宣導	207	V
635	強	207	V
636	具	206	V
637	獲獎	206	V
638	部落	206	V
639	展開	206	V
640	站	206	V
641	花	206	V
642	老師	205	V
643	繼續	205	V
644	十分	205	V
645	學會	204	V
646	去	204	V
647	送	203	V
648	尤其	203	V
649	報	203	V
650	職業	203	V
651	觀念	202	V
652	還是	201	V
653	氣候	201	V
654	比率	200	V
655	報告	200	V
656	排名	199	V
657	桌球	199	V
658	國語日報社	199	V
659	制度	197	V
660	靠	197	V
661	長	197	V
662	因應	197	V
663	方案	197	V
664	七月	196	V
665	召開	196	V
666	午餐	195	V
667	些	195	V
668	正	195	V
669	低	194	V
670	五月	194	V
671	不要	193	V
672	幾	193	V
673	融入	193	V
674	措施	193	V
675	關懷	193	V
676	企業	193	V
677	人力	193	V
678	機器人	193	V
679	車	193	V
680	生	192	V
681	發揮	192	V
682	正式	191	V
683	疫苗	191	V
684	教導	191	V
685	另	191	V
686	幼兒	190	V
687	執行	190	V
688	九月	190	V
689	研發	190	V
690	符合	189	V
691	不斷	189	V
692	機制	189	V
693	性別	189	V
694	設備	189	V
695	介紹	188	V
696	豬	188	V
697	連續	188	V
698	金牌	188	V
699	提高	187	V
700	人才	187	V
701	修	187	V
702	首度	187	V
703	公益	187	V
704	培育	187	V
705	臺東縣	187	V
706	原因	186	V
707	即使	186	V
708	觀察	186	V
709	除	185	V
710	打造	185	V
711	立法院	184	V
712	數	184	V
713	名額	184	V
714	草案	184	V
715	提醒	183	V
716	建築	183	V
717	社團	183	V
718	當時	182	V
719	報名	182	V
720	後來	182	V
721	平臺	182	V
722	照片	182	V
723	保障	182	V
724	達到	182	V
725	關注	182	V
726	雙語	181	V
727	近年	181	V
728	需	181	V
729	張	181	V
730	私立	180	V
731	分鐘	180	V
732	調整	180	V
733	尊重	180	V
734	藉由	180	V
735	總	179	V
736	勝	179	V
737	保育	179	V
738	臺中	179	V
739	藉	178	V
740	比較	178	V
741	市立	178	V
742	機構	178	V
743	國手	178	V
744	植物	178	V
745	手機	177	V
746	身體	177	V
747	奧運	177	V
748	體育	177	V
749	改變	177	V
750	英文	177	V
751	納入	177	V
752	採	176	V
753	類	176	V
754	爭議	175	V
755	意見	175	V
756	之後	175	V
757	陳壁銘	175	V
758	國語日報	175	V
759	創新	174	V
760	組織	174	V
761	期待	174	V
762	防災	173	V
763	困難	173	V
764	負擔	173	V
765	分析	172	V
766	回應	172	V
767	壓力	171	V
768	數位	171	V
769	棒球	171	V
770	農委會	171	V
771	暨	171	V
772	爭取	170	V
773	值得	170	V
774	全面	170	V
775	思考	170	V
776	嘉義縣	170	V
777	充滿	169	V
778	路	169	V
779	呈現	169	V
780	女童	168	V
781	造形	168	V
782	中小學	168	V
783	變	168	V
784	溝通	168	V
785	十一	168	V
786	基礎	167	V
787	選舉	167	V
788	三月	167	V
789	球隊	167	V
790	業者	167	V
791	生物	167	V
792	候選人	166	V
793	完全	166	V
794	新臺幣	166	V
795	降低	166	V
796	一般	166	V
797	基隆市	165	V
798	所有	165	V
799	有效	165	V
800	應用	165	V
801	作家	164	V
802	組成	164	V
803	配合	163	V
804	自由	163	V
805	中華	163	V
806	語言	163	V
807	四月	163	V
808	人生	162	V
809	中華隊	162	V
810	投票	162	V
811	越	161	V
812	權利	161	V
813	意義	161	V
814	百	161	V
815	學者	160	V
816	師資	160	V
817	相當	159	V
818	給予	159	V
819	工程	159	V
820	政治	159	V
821	產生	158	V
822	臺南	158	V
823	治療	158	V
824	注意	158	V
825	苗栗縣	158	V
826	基本	158	V
827	若	158	V
828	長輩	157	V
829	高中職	157	V
830	周年	157	V
831	責任	157	V
832	至於	157	V
833	家鄉	157	V
834	這樣	157	V
835	規範	157	V
836	數據	157	V
837	至今	156	V
838	戰	156	V
839	心	156	V
840	營養	156	V
841	探索	155	V
842	霸凌	155	V
843	得獎	155	V
844	禁止	155	V
845	而且	155	V
846	死亡	155	V
847	剛	154	V
848	至少	154	V
849	空氣	154	V
850	什麼	153	V
851	雖	153	V
852	參觀	153	V
853	大賽	153	V
854	一九年	153	V
855	拿到	152	V
856	預算	152	V
857	有關	152	V
858	法	152	V
859	身心	151	V
860	養	151	V
861	金	151	V
862	一月	151	V
863	公民	151	V
864	條例	151	V
865	審查	151	V
866	十六	151	V
867	穿	151	V
868	下午	150	V
869	發起	150	V
870	負責	150	V
871	得到	150	V
872	杯	150	V
873	德國	150	V
874	一定	150	V
875	作業	150	V
876	所以	150	V
877	機關	150	V
878	原住民	149	V
879	越南	149	V
880	個案	149	V
881	開學	149	V
882	六月	149	V
883	聽	149	V
884	十三	149	V
885	通報	149	V
886	私校	148	V
887	實際	148	V
888	人權	148	V
889	警察	147	V
890	十四	147	V
891	電腦	147	V
892	邊	147	V
893	新竹縣	147	V
894	魚	146	V
895	彩繪	146	V
896	垃圾	146	V
897	展示	146	V
898	亞洲	146	V
899	錄取	145	V
900	找到	145	V
901	情況	145	V
902	住民	145	V
903	逾	144	V
904	五十	144	V
905	宜蘭縣	144	V
906	得主	144	V
907	辛苦	144	V
908	季	144	V
909	太空	144	V
910	拍攝	144	V
911	熊	144	V
912	人工	144	V
913	衛生	144	V
914	啟動	144	V
915	時代	144	V
916	概念	144	V
917	玩具	143	V
918	海	143	V
919	決賽	143	V
920	表揚	143	V
921	疾管署	143	V
922	倍	143	V
923	走	142	V
924	罷工	142	V
925	國教	142	V
926	接觸	141	V
927	父親	141	V
928	直	141	V
929	從小	141	V
930	女性	141	V
931	歡迎	141	V
932	桃園	141	V
933	國外	141	V
934	國中小	141	V
935	上學	140	V
936	結束	140	V
937	奪冠	140	V
938	樹	140	V
939	颱風	140	V
940	夢想	139	V
941	年齡	139	V
942	意外	139	V
943	戶外	139	V
944	肯定	138	V
945	評估	138	V
946	地球	138	V
947	客家	138	V
