序位	詞彙	詞頻	百萬詞頻
768	下午	159	182
769	分校	159	182
770	公益	159	182
771	國語日報	159	182
772	尊重	159	182
773	考	159	182
774	網	158	181
775	修	158	181
776	思考	158	181
777	具	158	181
778	至少	157	180
779	達到	157	180
780	四年級	157	180
781	比率	157	180
782	家扶	157	180
783	研發	157	180
784	倍	157	180
785	教育部長	157	180
786	年輕	157	180
787	醫師	156	179
788	邊	156	179
789	這樣	156	179
790	十六	156	179
791	方面	155	177
792	提高	155	177
793	情況	155	177
794	食品	155	177
795	魚	155	177
796	類	154	176
797	措施	154	176
798	流感	154	176
799	出版	154	176
800	爭議	154	176
801	遭	154	176
802	建築	153	175
803	廁所	153	175
804	放棄	153	175
805	需求	153	175
806	公民	153	175
807	百	153	175
808	報告	153	175
809	實習	153	175
810	組成	153	175
811	最近	152	174
812	培育	152	174
813	堅持	152	174
814	少年	152	174
815	法國	152	174
816	取得	151	173
817	工程	151	173
818	中山	151	173
819	條	151	173
820	關心	151	173
821	教導	151	173
822	探索	151	173
823	召開	151	173
824	終於	150	172
825	負擔	150	172
826	意外	150	172
827	工會	150	172
828	測驗	150	172
829	陪伴	149	171
830	九月	149	171
831	習慣	148	169
832	肯定	148	169
833	電子	148	169
834	遇到	148	169
835	社團	147	168
836	女中	147	168
837	路	147	168
838	溝通	147	168
839	擔心	147	168
840	調整	146	167
841	降低	146	167
842	畫	146	167
843	教育局長	146	167
844	潘文忠	146	167
845	寫作	146	167
846	拿	146	167
847	至於	146	167
848	幫忙	145	166
849	期待	145	166
850	找	145	166
851	局	145	166
852	十一	144	165
853	最佳	144	165
854	電影	144	165
855	展示	144	165
856	此外	143	164
857	權益	143	164
858	學院	143	164
859	上午	143	164
860	感動	143	164
861	執行	143	164
862	參觀	143	164
863	德國	142	163
864	考量	142	163
865	多數	142	163
866	打造	142	163
867	完全	142	163
868	需	141	161
869	基本	141	161
870	金	141	161
871	自我	141	161
872	苗栗縣	141	161
873	志願	141	161
874	友善	140	160
875	快樂	140	160
876	原因	140	160
877	母親	140	160
878	擁有	140	160
879	即使	140	160
880	設備	140	160
881	能夠	139	159
882	戶外	139	159
883	首度	139	159
884	採	139	159
885	市府	139	159
886	疾管署	139	159
887	十三	139	159
888	走	139	159
889	爭取	138	158
890	順利	138	158
891	科	138	158
892	疫情	138	158
893	書籍	138	158
894	靠	138	158
895	六月	138	158
896	機構	137	157
897	禮物	137	157
898	雖	137	157
899	棒球	137	157
900	攝	137	157
901	負責	137	157
902	方向	137	157
903	族群	137	157
904	小小	137	157
905	朋友	137	157
906	意義	136	156
907	困難	136	156
908	傷害	136	156
909	距離	136	156
910	障礙	136	156
911	後來	136	156
912	改革	136	156
913	彩繪	135	154
914	願意	135	154
915	三月	135	154
916	經常	135	154
917	死亡	135	154
918	小學生	134	153
919	公立	134	153
920	有效	134	153
921	人口	134	153
922	聯合國	134	153
923	責任	134	153
924	於是	134	153
925	錦標賽	134	153
926	蔡	134	153
927	開	134	153
928	校舍	133	152
929	登場	133	152
930	份	133	152
931	狗	133	152
932	公斤	133	152
933	醫療	133	152
934	幾乎	133	152
935	剛	132	151
936	榮獲	132	151
937	成	132	151
938	面	132	151
939	方法	132	151
940	到校	132	151
941	高達	132	151
942	機器人	131	150
943	海	131	150
944	群	131	150
945	滿	131	150
946	師大	131	150
947	力量	131	150
948	球隊	131	150
949	逐漸	131	150
950	樹	131	150
951	啟動	131	150
952	基礎	131	150
953	二十四	130	149
954	學者	130	149
955	因應	130	149
956	一年級	130	149
957	豐富	130	149
958	記者會	130	149
959	意見	130	149
960	現象	130	149
961	第四	130	149
962	私校	130	149
963	國外	130	149
964	引起	130	149
965	老	129	148
966	系列	129	148
967	大會	129	148
968	主辦	129	148
969	勝	129	148
970	藉	129	148
971	宣導	129	148
972	越	129	148
973	接觸	128	146
974	私立	128	146
975	部	128	146
976	藉由	128	146
977	段	128	146
978	附近	128	146
979	停課	128	146
980	人力	128	146
981	家鄉	127	145
982	那	127	145
983	近年	127	145
984	性別	127	145
985	感染	127	145
986	讀報	127	145
987	二年級	127	145
988	一日	127	145
989	主動	127	145
990	評估	127	145
991	報	127	145
992	照片	127	145
993	頭	126	144
994	政治	126	144
995	二月	126	144
996	遠	126	144
997	從事	126	144
998	處長	126	144
999	大賽	126	144
1000	班級	126	144
1001	十四	126	144
1002	罹患	126	144
1003	幸福	125	143
1004	數位	125	143
1005	功能	125	143
1006	人物	125	143
1007	晚上	125	143
1008	網站	125	143
1009	納入	125	143
1010	至今	125	143
1011	薪資	125	143
1012	市場	125	143
1013	態度	124	142
1014	符合	124	142
1015	禁止	124	142
1016	選	124	142
1017	充滿	124	142
1018	應用	123	141
1019	感到	123	141
1020	女性	123	141
1021	體育	123	141
1022	受傷	123	141
1023	買	123	141
1024	高中生	123	141
1025	以來	123	141
1026	自由	123	141
1027	就業	123	141
1028	成就感	123	141
1029	上網	123	141
1030	跨	123	141
1031	看見	122	140
1032	舞蹈	122	140
1033	投票	122	140
1034	實際	122	140
1035	陸續	122	140
1036	年齡	122	140
1037	獎學金	121	138
1038	年輕人	121	138
1039	人士	121	138
1040	具有	121	138
1041	見	121	138
1042	特展	120	137
1043	回到	120	137
1044	保障	120	137
1045	食材	120	137
1046	身	120	137
1047	坐	120	137
1048	十月	120	137
1049	限制	120	137
1050	住	120	137
1051	國中小	120	137
1052	文教	120	137
1053	教官	120	137
1054	職棒	119	136
1055	優先	119	136
1056	套	119	136
1057	得主	119	136
1058	師長	119	136
1059	和平	119	136
1060	故宮	119	136
1061	民國	119	136
1062	疾病	119	136
1063	推荐	119	136
1064	導覽	119	136
1065	維持	119	136
1066	變成	118	135
1067	整	118	135
1068	進步	118	135
1069	卡	118	135
1070	植物	118	135
1071	漫畫	118	135
1072	市政府	117	134
1073	系	117	134
1074	女生	117	134
1075	四十	117	134
1076	一月	117	134
1077	供	117	134
1078	地球	117	134
1079	聯合	117	134
1080	回	117	134
1081	四月	117	134
1082	面臨	117	134
1083	少子化	117	134
1084	熱情	117	134
1085	技巧	117	134
1086	公分	117	134
1087	概念	117	134
1088	重新	116	133
1089	居民	116	133
1090	人類	116	133
1091	即將	116	133
1092	拿到	116	133
1093	然而	116	133
1094	兩百	116	133
1095	角色	115	132
1096	儀式	115	132
1097	南投縣	115	132
1098	原	115	132
1099	子女	115	132
1100	記錄	115	132
1101	自信	115	132
1102	條件	115	132
1103	點	115	132
1104	秒	114	130
1105	隨著	114	130
1106	排名	114	130
1107	其實	114	130
1108	同意	114	130
1109	引導	114	130
1110	屬於	114	130
1111	發布	114	130
1112	經營	114	130
1113	生物	114	130
1114	偏	114	130
1115	情緒	113	129
1116	里約	113	129
1117	修法	113	129
1118	適合	113	129
1119	評審	113	129
1120	缺乏	113	129
1121	假日	113	129
1122	選出	112	128
1123	零	112	128
1124	科大	112	128
1125	明顯	112	128
1126	數據	112	128
1127	教材	112	128
1128	帶來	112	128
1129	不再	111	127
1130	環保署	111	127
1131	菜	111	127
1132	優秀	111	127
1133	口	111	127
1134	抓	111	127
1135	分發	111	127
1136	城市	110	126
1137	票	110	126
1138	作文	110	126
1139	贏得	110	126
1140	興奮	110	126
1141	緊急	110	126
1142	效果	110	126
1143	原則	110	126
1144	參考	110	126
1145	新竹縣	110	126
1146	董事長	110	126
1147	民	110	126
1148	回憶	110	126
1149	曾經	110	126
1150	越南	110	126
1151	穩定	110	126
1152	福利	110	126
1153	抗議	110	126
1154	書法	110	126
1155	書展	110	126
1156	前天	109	125
1157	排	109	125
1158	造形	109	125
1159	東南亞	109	125
1160	即日	109	125
1161	語文	109	125
1162	代	109	125
1163	創下	109	125
1164	公開	109	125
1165	兩岸	109	125
1166	親	109	125
1167	明天	108	123
1168	產品	108	123
1169	暨	108	123
1170	認真	108	123
1171	真	107	122
1172	香港	107	122
1173	上學	107	122
1174	身心	107	122
1175	重	107	122
1176	放	107	122
1177	回收	107	122
1178	闖關	107	122
1179	文物	107	122
1180	電視	106	121
1181	輪椅	106	121
1182	兒子	106	121
1183	專長	106	121
1184	題	106	121
1185	寒假	106	121
1186	唯一	106	121
1187	即	106	121
1188	均	106	121
1189	院校	106	121
1190	學到	106	121
1191	一直	105	120
1192	依據	105	120
1193	頒發	105	120
1194	男孩	105	120
1195	文化部	105	120
1196	中正	105	120
1197	升學	105	120
1198	哥哥	105	120
1199	簡單	105	120
1200	反對	105	120
1201	書店	105	120
1202	錢	104	119
1203	騎	104	119
1204	說明	104	119
1205	厝	104	119
1206	學測	104	119
1207	長大	104	119
1208	擴大	104	119
1209	邀	104	119
1210	大型	104	119
1211	初	104	119
1212	雲林縣	104	119
1213	勇敢	104	119
1214	火車	103	118
1215	印象	103	118
1216	十七	103	118
1217	有的	103	118
1218	歐洲	103	118
1219	完整	103	118
1220	搭	103	118
1221	金門	102	117
1222	幼兒	102	117
1223	時期	102	117
1224	操場	102	117
1225	發起	102	117
1226	關鍵	102	117
1227	開發	102	117
1228	辦法	102	117
1229	人次	102	117
1230	情形	102	117
1231	以後	102	117
1232	攝影／李榮茂	102	117
1233	藝術家	102	117
1234	拍攝	101	115
1235	旁	101	115
1236	六十	101	115
1237	國人	101	115
1238	區域	101	115
1239	杯	101	115
1240	季	101	115
1241	國語日報社	101	115
1242	而是	101	115
1243	師範	101	115
1244	生涯	100	114
1245	別人	100	114
1246	緊張	100	114
1247	旅行	100	114
1248	歷程	100	114
1249	毒品	100	114
1250	古蹟	100	114
1251	名單	100	114
1252	境	100	114
1253	病例	100	114
1254	回家	100	114
1255	遊客	100	114
1256	招	99	113
1257	垃圾	99	113
1258	舞臺	99	113
1259	女子	99	113
1260	培訓	99	113
1261	汙染	99	113
1262	機制	99	113
1263	讀書	99	113
